First_6M_Stock,Paper_Choice,Second_6M_Stock,Paper_Payoff,Recalculated_Choice,Recalculated_Payoff,Payoff_Absolute_Error
118.33,PUT,116.77,33.23,PUT,33.230000000000004,7.105427357601002e-15
222.63,CALL,192.89,42.89,CALL,42.889999999999986,1.4210854715202004e-14
186.53,CALL,192.94,42.94,CALL,42.94,0.0
164.08,CALL,148.77,0.0,CALL,0.0,0.0
159.09,CALL,116.78,0.0,CALL,0.0,0.0
186.73,CALL,128.12,0.0,CALL,0.0,0.0
106.61,PUT,90.52,59.48,PUT,59.480000000000004,7.105427357601002e-15
163.06,CALL,179.61,29.61,CALL,29.610000000000014,1.4210854715202004e-14
129.26,PUT,144.82,5.18,PUT,5.180000000000007,7.105427357601002e-15
115.41,PUT,136.5,13.5,PUT,13.5,0.0
