Quote_Date,Expiration,Option_Type,Strike,Last,Bid,Ask,Volume,Quoted_IV,Source_URL,Data_Note
2026-09-04,2026-09-11,call,352.5,8.23,6.7,8.45,247,0.18,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,call,355.0,5.77,4.7,6.95,230,0.18,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,call,357.5,4.21,3.9,5.25,538,0.18,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,call,360.0,2.98,2.77,3.25,856,0.18,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,call,362.5,2.05,1.73,2.1,3387,0.17,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,call,365.0,1.17,1.15,1.5,635,0.18,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,put,352.5,1.57,1.17,1.57,248,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,put,355.0,2.22,2.03,2.3,682,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,put,357.5,3.33,2.49,3.55,273,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,put,360.0,4.68,3.65,4.8,788,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,put,362.5,6.08,4.6,6.7,36,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-11,put,365.0,7.9,6.3,8.55,1,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,call,352.5,9.47,8.8,10.6,25,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,call,355.0,7.9,7.5,8.75,170,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,call,357.5,6.2,6.05,7.0,367,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,call,360.0,5.05,4.35,5.4,347,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,call,362.5,3.84,3.6,4.25,65,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,call,365.0,2.96,2.9,3.6,143,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,put,352.5,3.25,2.66,3.4,38,0.21,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,put,355.0,4.23,3.35,4.25,170,0.21,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,put,357.5,5.35,4.2,5.55,121,0.21,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,put,360.0,6.55,5.9,6.9,105,0.21,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,put,362.5,7.88,6.6,8.45,26,0.21,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-18,put,365.0,9.5,8.65,10.2,18,0.21,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,call,345.0,19.0,15.45,17.95,0,0.21,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,call,350.0,12.75,11.7,13.4,14,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,call,355.0,9.35,8.85,10.5,21,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,call,360.0,6.6,6.25,7.55,358,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,call,365.0,4.2,4.0,4.75,69,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,call,370.0,2.7,2.37,3.05,49,0.19,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,put,345.0,2.47,2.08,2.61,91,0.22,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,put,350.0,3.7,3.4,3.9,48,0.22,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,put,355.0,4.97,5.0,5.75,74,0.22,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,put,360.0,7.3,6.75,8.05,19,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,put,365.0,10.7,9.2,11.3,1,0.2,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
2026-09-04,2026-09-25,put,370.0,16.2,12.65,15.15,0,0.21,https://www.cboe.com/delayed_quotes/JPM/quote_table/,Delayed Cboe listed-equity quote manually transcribed for one research snapshot; not a chooser transaction.
