Approach,Feature,Importance_Mean,Importance_Std
Approach 1,VIX_Close,0.002266714362108055,0.0005680062096183054
Approach 1,MA50_Gap,0.0003575523024047918,7.964825258908515e-05
Approach 1,Treasury_Rate_Decimal,0.0001213290117718313,4.448538665941777e-05
Approach 1,VIX_JPM_Correlation_20D,4.8704147967531626e-05,0.00016770064179671696
Approach 1,Rolling_Volatility_5D,3.090082077552986e-05,6.107660724565248e-05
Approach 1,MA20_Gap,2.5840595075292404e-05,7.127032652092365e-06
Approach 1,Rolling_Volatility_10D,2.100858979006172e-05,1.1623073799656678e-05
Approach 1,Abs_Return_1D,2.1896558165315307e-06,3.996134332821826e-06
Approach 1,Daily_Return,1.3383270629074618e-06,1.6893133331401474e-06
Approach 1,Interest_Rate_Momentum,1.082286233886065e-06,1.8510241260227295e-06
Approach 1,Overnight_Gap,-8.930558141755778e-07,2.000350932581713e-06
Approach 1,Intraday_Range,-2.6089500703803625e-06,1.5845162033041808e-05
Approach 1,Volume_ZScore_20D,-1.2862597288075424e-05,2.7108536105835288e-05
Approach 1,VIX_Return,-1.5186362374809113e-05,7.003311543381598e-06
Approach 1,Price_Momentum_20D,-5.286541013424494e-05,1.3283047249432304e-05
Approach 1,Rolling_Volatility_20D,-6.298521689951179e-05,6.250039683873019e-05
Approach 1,Rolling_Volatility_60D,-0.00016255989553859567,0.00028010969742897634
Approach 2,VIX_Close,20.392395076239577,3.9712794544999177
Approach 2,Rolling_Volatility_5D,14.396318159237005,2.96826699424743
Approach 2,VIX_JPM_Correlation_20D,7.934649303888182,1.8320245214439619
Approach 2,MA50_Gap,7.110360738042315,6.9464211747307845
Approach 2,MA20_Gap,5.318087865997404,1.7187889772228278
Approach 2,Abs_Return_1D,3.02376246492222,1.8780019624534436
Approach 2,Price_Momentum_20D,1.9795972381545652,0.9999853112512116
Approach 2,Daily_Return,0.7662152736398639,0.46237131519898433
Approach 2,Intraday_Range,0.3187754872938967,0.1531768224745159
Approach 2,Interest_Rate_Momentum,0.14727782895849184,1.1496564716402107
Approach 2,Overnight_Gap,-0.5219557922722137,0.12494679346978631
Approach 2,Treasury_Rate_Decimal,-0.9834541318544022,3.637152341636142
Approach 2,VIX_Return,-1.1554856201444637,0.8017478213528205
Approach 2,Volume_ZScore_20D,-2.0818868120626575,1.029490710186556
Approach 2,Rolling_Volatility_10D,-13.528784623234726,1.9568845119707994
Approach 2,Rolling_Volatility_20D,-23.070236912351294,1.9181885270958066
Approach 2,Rolling_Volatility_60D,-27.412502262342848,2.606453537300911
Approach 2,Log_Moneyness,-242.66020192695808,15.219680193495906
Approach 2,Close,-454.67386214359277,28.491077942340542
