Approach,Target,Feature,Mean_Absolute_SHAP
Approach 1 Random Forest,Forward volatility,VIX_Close,0.051947417213971864
Approach 1 Random Forest,Forward volatility,Treasury_Rate_Decimal,0.03313134744494939
Approach 1 Random Forest,Forward volatility,Rolling_Volatility_60D,0.028021981390468707
Approach 1 Random Forest,Forward volatility,MA50_Gap,0.00811541921203469
Approach 1 Random Forest,Forward volatility,VIX_JPM_Correlation_20D,0.005818061284167232
Approach 1 Random Forest,Forward volatility,MA20_Gap,0.005417279337312484
Approach 1 Random Forest,Forward volatility,Rolling_Volatility_5D,0.004034918227648734
Approach 1 Random Forest,Forward volatility,Rolling_Volatility_20D,0.001486788871486536
Approach 1 Random Forest,Forward volatility,Price_Momentum_20D,0.0009629424571636996
Approach 1 Random Forest,Forward volatility,Volume_ZScore_20D,0.0008579429629142832
Approach 1 Random Forest,Forward volatility,Intraday_Range,0.0006201646153802036
Approach 1 Random Forest,Forward volatility,Rolling_Volatility_10D,0.0006151439343440592
Approach 1 Random Forest,Forward volatility,Abs_Return_1D,0.0005916167503060814
Approach 1 Random Forest,Forward volatility,VIX_Return,0.000212904217930363
Approach 1 Random Forest,Forward volatility,Daily_Return,0.00011850683525939445
Approach 1 Random Forest,Forward volatility,Overnight_Gap,0.00010562166043275415
Approach 1 Random Forest,Forward volatility,Interest_Rate_Momentum,5.168738752320289e-05
Approach 2 Bounded time-value regression,Direct chooser proxy price,Close,13.798253557991698
Approach 2 Bounded time-value regression,Direct chooser proxy price,VIX_Close,5.745793283805183
Approach 2 Bounded time-value regression,Direct chooser proxy price,Rolling_Volatility_20D,2.138891555764286
Approach 2 Bounded time-value regression,Direct chooser proxy price,Treasury_Rate_Decimal,1.4054629341149172
Approach 2 Bounded time-value regression,Direct chooser proxy price,MA50_Gap,0.7808702582197184
Approach 2 Bounded time-value regression,Direct chooser proxy price,Rolling_Volatility_60D,0.5728130239892769
Approach 2 Bounded time-value regression,Direct chooser proxy price,Rolling_Volatility_10D,0.5366083581825133
Approach 2 Bounded time-value regression,Direct chooser proxy price,VIX_JPM_Correlation_20D,0.5338575133385571
Approach 2 Bounded time-value regression,Direct chooser proxy price,Price_Momentum_20D,0.4296039286067682
Approach 2 Bounded time-value regression,Direct chooser proxy price,Intraday_Range,0.27239532170810854
Approach 2 Bounded time-value regression,Direct chooser proxy price,Volume_ZScore_20D,0.1880236173840216
Approach 2 Bounded time-value regression,Direct chooser proxy price,Rolling_Volatility_5D,0.1509358100300098
Approach 2 Bounded time-value regression,Direct chooser proxy price,Abs_Return_1D,0.13028155968128052
Approach 2 Bounded time-value regression,Direct chooser proxy price,Interest_Rate_Momentum,0.128742888330037
Approach 2 Bounded time-value regression,Direct chooser proxy price,MA20_Gap,0.10449557083700323
Approach 2 Bounded time-value regression,Direct chooser proxy price,Overnight_Gap,0.06782771267052244
Approach 2 Bounded time-value regression,Direct chooser proxy price,Daily_Return,0.011660514460259477
Approach 2 Bounded time-value regression,Direct chooser proxy price,VIX_Return,0.011049708939691786
Approach 2 Bounded time-value regression,Direct chooser proxy price,Log_Moneyness,0.0
